square_feet,bedrooms,baths,acres,neighborhood,year_built,garage_cars,updated,sale_price,year_sold
2696,5,4.5,0.88,5,1978,2,1,899900,2016
2952,4,2.5,0.63,5,1970,2,0,599000,2016
3406,5,3.5,0.89,4,1966,1,0,599900,2016
2646,4,2.5,0.62,4,1975,2,0,560000,2016
2391,5,4,0.8,3,2007,2,1,634000,2016
1712,5,3,0.15,2,1975,0,0,375000,2016
3144,5,3.5,2.5,2,1996,1,0,539000,2016
2058,4,2.2,0.29,3,2009,2,0,515000,2016
1013,4,2,0.2,2,1970,1,0,259000,2016
3717,5,3.5,0.47,5,1988,2,0,738000,2016
1680,4,3,0.25,3,1984,1,0,399500,2016
2226,4,2.5,0.27,4,1972,2,0,535000,2016
2692,4,2.5,0.37,3,1993,2,0,525000,2016
1074,4,2.5,0.18,3,1980,0,0,329000,2016
1260,4,2,0.26,2,1955,0,0,299000,2016
2400,4,3,0.58,2,1960,0,0,475000,2017
4025,5,4,1.08,3,2001,2,1,675000,2017
2330,4,2.5,1,2,1956,1,0,550000,2017
2258,4,2.5,1.27,2,1971,1,0,460000,2017
4394,5,5,1.06,3,1983,2,1,600000,2017
2878,4,4,0.55,3,1989,2,0,536000,2017
3324,5,3.5,1.23,3,2002,2,0,575000,2017
2823,4,2.5,0.88,5,2000,2,1,650000,2017
3000,4,3,1.31,4,1990,2,1,650000,2017
2500,4,3,0.53,4,1972,2,0,520000,2017
2828,5,2.5,0.6,4,1969,2,1,636000,2017
3774,5,4,1.6,4,1987,2,1,660000,2017
3200,4,4,0.82,4,1992,2,1,610000,2017
2452,4,2.5,0.82,2,1967,2,1,508000,2017
2240,5,3,0.72,4,1968,2,0,635000,2017
3800,4,3,.58,4,1967,2,1,625000,2017
1548,4,4,.54,4,1969,2,0,615000,2017
2172,4,2.5,.57,4,1972,2,0,550000,2017
2516,4,5,.59,2,1972,2,1,575000,2017
